ID,DateTime,Year,Month,Day,Hour,Temperature
431,18/10/2016 22:00,2016,10,18,22,10.5
432,18/10/2016 23:00,2016,10,18,23,9.9
433,19/10/2016 00:00,2016,10,19,0,10.4
434,19/10/2016 01:00,2016,10,19,1,8.8
435,19/10/2016 02:00,2016,10,19,2,8.8
436,19/10/2016 03:00,2016,10,19,3,9.9
437,19/10/2016 04:00,2016,10,19,4,10.5
438,19/10/2016 05:00,2016,10,19,5,9.9
439,19/10/2016 06:00,2016,10,19,6,9.9
440,19/10/2016 07:00,2016,10,19,7,10.7
441,19/10/2016 08:00,2016,10,19,8,10.9
442,19/10/2016 09:00,2016,10,19,9,11.4
443,19/10/2016 10:00,2016,10,19,10,11.8
444,19/10/2016 11:00,2016,10,19,11,12.1
445,19/10/2016 12:00,2016,10,19,12,12.1
446,19/10/2016 13:00,2016,10,19,13,11.7
447,19/10/2016 14:00,2016,10,19,14,11.8
448,19/10/2016 15:00,2016,10,19,15,11.8
449,19/10/2016 16:00,2016,10,19,16,11.4
450,19/10/2016 17:00,2016,10,19,17,11
451,19/10/2016 18:00,2016,10,19,18,10.6
452,19/10/2016 19:00,2016,10,19,19,9.5
453,19/10/2016 20:00,2016,10,19,20,9.1
454,19/10/2016 21:00,2016,10,19,21,8.6
455,19/10/2016 22:00,2016,10,19,22,7.3
456,19/10/2016 23:00,2016,10,19,23,6.9
457,20/10/2016 00:00,2016,10,20,0,6.3
458,20/10/2016 01:00,2016,10,20,1,6.1
459,20/10/2016 02:00,2016,10,20,2,6.2
460,20/10/2016 03:00,2016,10,20,3,5.9
461,20/10/2016 04:00,2016,10,20,4,5.9
462,20/10/2016 05:00,2016,10,20,5,6.2
463,20/10/2016 06:00,2016,10,20,6,6.2
464,20/10/2016 07:00,2016,10,20,7,6.6
465,20/10/2016 08:00,2016,10,20,8,7.4
466,20/10/2016 09:00,2016,10,20,9,10
467,20/10/2016 10:00,2016,10,20,10,11.4
468,20/10/2016 11:00,2016,10,20,11,12.3
469,20/10/2016 12:00,2016,10,20,12,11.5
470,20/10/2016 13:00,2016,10,20,13,11.8
471,20/10/2016 14:00,2016,10,20,14,11.5
472,20/10/2016 15:00,2016,10,20,15,11.1
473,20/10/2016 16:00,2016,10,20,16,10.3
474,20/10/2016 17:00,2016,10,20,17,9.6
475,20/10/2016 18:00,2016,10,20,18,8.9
476,20/10/2016 19:00,2016,10,20,19,9
477,20/10/2016 20:00,2016,10,20,20,9.2
478,20/10/2016 21:00,2016,10,20,21,9.3
479,20/10/2016 22:00,2016,10,20,22,9.1
480,20/10/2016 23:00,2016,10,20,23,9.1
481,21/10/2016 00:00,2016,10,21,0,9.1
482,21/10/2016 01:00,2016,10,21,1,9.5
483,21/10/2016 02:00,2016,10,21,2,9.6
484,21/10/2016 03:00,2016,10,21,3,9.5
485,21/10/2016 04:00,2016,10,21,4,9.1
486,21/10/2016 05:00,2016,10,21,5,9.4
487,21/10/2016 06:00,2016,10,21,6,9.4
488,21/10/2016 07:00,2016,10,21,7,9.2
489,21/10/2016 08:00,2016,10,21,8,9.7
490,21/10/2016 09:00,2016,10,21,9,10.4
491,21/10/2016 10:00,2016,10,21,10,10.8
492,21/10/2016 11:00,2016,10,21,11,11
493,21/10/2016 12:00,2016,10,21,12,11.1
494,21/10/2016 13:00,2016,10,21,13,11.4
495,21/10/2016 14:00,2016,10,21,14,11.2
496,21/10/2016 15:00,2016,10,21,15,9.7
497,21/10/2016 16:00,2016,10,21,16,9.1
498,21/10/2016 17:00,2016,10,21,17,8.2
499,21/10/2016 18:00,2016,10,21,18,7.9
500,21/10/2016 19:00,2016,10,21,19,7.9
501,21/10/2016 20:00,2016,10,21,20,9
502,21/10/2016 21:00,2016,10,21,21,9.4
503,21/10/2016 22:00,2016,10,21,22,9.1
504,21/10/2016 23:00,2016,10,21,23,9.6
505,22/10/2016 00:00,2016,10,22,0,9.2
506,22/10/2016 01:00,2016,10,22,1,9.2
507,22/10/2016 02:00,2016,10,22,2,9.2
508,22/10/2016 03:00,2016,10,22,3,9.3
509,22/10/2016 04:00,2016,10,22,4,9.3
510,22/10/2016 05:00,2016,10,22,5,9.1
511,22/10/2016 06:00,2016,10,22,6,9.3
512,22/10/2016 07:00,2016,10,22,7,9.4
513,22/10/2016 08:00,2016,10,22,8,9.5
514,22/10/2016 09:00,2016,10,22,9,9.7
515,22/10/2016 10:00,2016,10,22,10,10.9
516,22/10/2016 11:00,2016,10,22,11,11.7
517,22/10/2016 12:00,2016,10,22,12,11.6
518,22/10/2016 13:00,2016,10,22,13,9.6
519,22/10/2016 14:00,2016,10,22,14,10.5
520,22/10/2016 15:00,2016,10,22,15,10
521,22/10/2016 16:00,2016,10,22,16,9.7
522,22/10/2016 17:00,2016,10,22,17,8.5
523,22/10/2016 18:00,2016,10,22,18,7.9
524,22/10/2016 19:00,2016,10,22,19,7.9
525,22/10/2016 20:00,2016,10,22,20,8
526,22/10/2016 21:00,2016,10,22,21,6.7
527,22/10/2016 22:00,2016,10,22,22,6.7
528,22/10/2016 23:00,2016,10,22,23,7
529,23/10/2016 00:00,2016,10,23,0,7.4
530,23/10/2016 01:00,2016,10,23,1,7.1
531,23/10/2016 02:00,2016,10,23,2,6.1
532,23/10/2016 03:00,2016,10,23,3,5.4
533,23/10/2016 04:00,2016,10,23,4,4.8
534,23/10/2016 05:00,2016,10,23,5,6.1
535,23/10/2016 06:00,2016,10,23,6,5.5
536,23/10/2016 07:00,2016,10,23,7,5.9
537,23/10/2016 08:00,2016,10,23,8,6.3
