classification,xVariable,yVariable,xAxisLabel,yStart
Wales,66,33426,,
Wales,67,33863,,
Wales,68,34387,,
Wales,69,34911,,
Wales,70,35347,,
Wales,71,35871,,
Wales,72,36239,,
Wales,73,36669,,
Wales,74,37037,,
Wales,75,37466,,
Wales,76,37957,,
Wales,77,38386,,
Wales,78,38877,,
Wales,79,39368,,
Wales,80,39920,,
Wales,81,40411,,
Wales,82,41000,,
Wales,83,41590,,
Wales,84,42120,,
Wales,85,42592,,
Wales,86,43299,,
Wales,87,44065,,
Wales,88,45008,,
Wales,89,46069,,
Wales,90,47129,,
Wales,91,48426,,
Scotland,11,17374,,
Scotland,12,17652,,
Scotland,13,17930,,
Scotland,14,18208,,
Scotland,15,18625,,
Scotland,16,18903,,
Scotland,17,19180,,
Scotland,18,19597,,
Scotland,19,19875,,
Scotland,20,20153,,
Scotland,21,20431,,
Scotland,22,20804,,
Scotland,23,21053,,
Scotland,24,21301,,
Scotland,25,21550,,
Scotland,26,21923,,
Scotland,27,22171,,
Scotland,28,22420,,
Scotland,29,22793,,
Scotland,30,23041,,
Scotland,31,23290,,
Scotland,32,23644,,
Scotland,33,23881,,
Scotland,34,24235,,
Scotland,35,24471,,
Scotland,36,24825,,
Scotland,37,25062,,
Scotland,38,25416,,
Scotland,39,25770,,
Scotland,40,26125,,
Scotland,41,26479,,
Scotland,42,26820,,
Scotland,43,27160,,
Scotland,44,27501,,
Scotland,45,27842,,
Scotland,46,28183,,
Scotland,47,28523,,
Scotland,48,28864,,
Scotland,49,29205,,
Scotland,50,29659,,
Scotland,51,30000,,
Scotland,52,30287,,
Scotland,53,30669,,
Scotland,54,31051,,
Scotland,55,31338,,
Scotland,56,31720,,
Scotland,57,32197,,
Scotland,58,32580,,
Scotland,59,32962,,
Scotland,60,33344,,
Scotland,61,33726,,
Scotland,62,34058,,
Scotland,63,34474,,
Scotland,64,34806,,
Scotland,65,35222,,
Scotland,66,35637,,
Scotland,67,36053,,
Scotland,68,36551,,
Scotland,69,37050,,
Scotland,70,37465,,
Scotland,71,37964,,
Scotland,72,38420,,
Scotland,73,38953,,
Scotland,74,39409,,
Scotland,75,39941,,
Scotland,76,40549,,
Scotland,77,41082,,
Scotland,78,41690,,
Scotland,79,42298,,
Scotland,80,42983,,
Scotland,81,43591,,
Scotland,82,44422,,
Scotland,83,45252,,
Scotland,84,45999,,
Scotland,85,46664,,
Scotland,86,47661,,
Scotland,87,48740,,
Scotland,88,50069,,
Scotland,89,51564,,
Scotland,90,53059,,
Scotland,91,54886,,
Northern Ireland,11,16600,,
Northern Ireland,12,16837,,
Northern Ireland,13,17074,,
Northern Ireland,14,17311,,
Northern Ireland,15,17667,,
Northern Ireland,16,17904,,
Northern Ireland,17,18141,,
Northern Ireland,18,18497,,
Northern Ireland,19,18734,,
