xVariable,yVariable,marginalTaxRate,classification,xAxisLabel,yStart,countA,,,
155500,100525,0.45,1920,,,1,,,
156000,100800,0.45,1920,,,1,,,
156500,101075,0.45,1920,,,1,,,
157000,101350,0.45,1920,,,1,,,
157500,101625,0.45,1920,,,1,,,
158000,101900,0.45,1920,,,1,,,
158500,102175,0.45,1920,,,1,,,
159000,102450,0.45,1920,,,1,,,
159500,102725,0.45,1920,,,1,,,
160000,103000,0.45,1920,,,1,,,
160500,103275,0.45,1920,,,1,,,
161000,103550,0.45,1920,,,1,,,
161500,103825,0.45,1920,,,1,,,
162000,104100,0.45,1920,,,1,,,
162500,104375,0.45,1920,,,1,,,
163000,104650,0.45,1920,,,1,,,
163500,104925,0.45,1920,,,1,,,
164000,105200,0.45,1920,,,1,,,
164500,105475,0.45,1920,,,1,,,
165000,105750,0.45,1920,,,1,,,
165500,106025,0.45,1920,,,1,,,
166000,106300,0.45,1920,,,1,,,
166500,106575,0.45,1920,,,1,,,
167000,106850,0.45,1920,,,1,,,
167500,107125,0.45,1920,,,1,,,
168000,107400,0.45,1920,,,1,,,
168500,107675,0.45,1920,,,1,,,
169000,107950,0.45,1920,,,1,,,
169500,108225,0.45,1920,,,1,,,
170000,108500,0.45,1920,,,1,,,
170500,108775,0.45,1920,,,1,,,
171000,109050,0.45,1920,,,1,,,
171500,109325,0.45,1920,,,1,,,
172000,109600,0.45,1920,,,1,,,
172500,109875,0.45,1920,,,1,,,
173000,110150,0.45,1920,,,1,,,
173500,110425,0.45,1920,,,1,,,
174000,110700,0.45,1920,,,1,,,
174500,110975,0.45,1920,,,1,,,
175000,111250,0.45,1920,,,1,,,
175500,111525,0.45,1920,,,1,,,
176000,111800,0.45,1920,,,1,,,
176500,112075,0.45,1920,,,1,,,
177000,112350,0.45,1920,,,1,,,
177500,112625,0.45,1920,,,1,,,
178000,112900,0.45,1920,,,1,,,
178500,113175,0.45,1920,,,1,,,
179000,113450,0.45,1920,,,1,,,
179500,113725,0.45,1920,,,1,,,
180000,114000,0.45,1920,,,1,,,
180500,114275,0.45,1920,,,1,,,
181000,114550,0.45,1920,,,1,,,
181500,114825,0.45,1920,,,1,,,
182000,115100,0.45,1920,,,1,,,
182500,115375,0.45,1920,,,1,,,
183000,115650,0.45,1920,,,1,,,
183500,115925,0.45,1920,,,1,,,
184000,116200,0.45,1920,,,1,,,
184500,116475,0.45,1920,,,1,,,
185000,116750,0.45,1920,,,1,,,
185500,117025,0.45,1920,,,1,,,
186000,117300,0.45,1920,,,1,,,
186500,117575,0.45,1920,,,1,,,
187000,117850,0.45,1920,,,1,,,
187500,118125,0.45,1920,,,1,,,
188000,118400,0.45,1920,,,1,,,
188500,118675,0.45,1920,,,1,,,
189000,118950,0.45,1920,,,1,,,
189500,119225,0.45,1920,,,1,,,
190000,119500,0.45,1920,,,1,,,
190500,119775,0.45,1920,,,1,,,
191000,120050,0.45,1920,,,1,,,
191500,120325,0.45,1920,,,1,,,
192000,120600,0.45,1920,,,1,,,
192500,120875,0.45,1920,,,1,,,
193000,121150,0.45,1920,,,1,,,
193500,121425,0.45,1920,,,1,,,
194000,121700,0.45,1920,,,1,,,
194500,121975,0.45,1920,,,1,,,
195000,122250,0.45,1920,,,1,,,
195500,122525,0.45,1920,,,1,,,
196000,122800,0.45,1920,,,1,,,
196500,123075,0.45,1920,,,1,,,
197000,123350,0.45,1920,,,1,,,
197500,123625,0.45,1920,,,1,,,
198000,123900,0.45,1920,,,1,,,
198500,124175,0.45,1920,,,1,,,
199000,124450,0.45,1920,,,1,,,
199500,124725,0.45,1920,,,1,,,
200000,125000,0.45,1920,,,1,,,
200500,125275,0.45,1920,,,1,,,
201000,125550,0.45,1920,,,1,,,
201500,125825,0.45,1920,,,1,,,
202000,126100,0.45,1920,,,1,,,
202500,126375,0.45,1920,,,1,,,
203000,126650,0.45,1920,,,1,,,
203500,126925,0.45,1920,,,1,,,
204000,127200,0.45,1920,,,1,,,
204500,127475,0.45,1920,,,1,,,
205000,127750,0.45,1920,,,1,,,
205500,128025,0.45,1920,,,1,,,
206000,128300,0.45,1920,,,1,,,
206500,128575,0.45,1920,,,1,,,
207000,128850,0.45,1920,,,1,,,
207500,129125,0.45,1920,,,1,,,
208000,129400,0.45,1920,,,1,,,
208500,129675,0.45,1920,,,1,,,
209000,129950,0.45,1920,,,1,,,
209500,130225,0.45,1920,,,1,,,
210000,130500,0.45,1920,,,1,,,
210500,130775,0.45,1920,,,1,,,
211000,131050,0.45,1920,,,1,,,
211500,131325,0.45,1920,,,1,,,
212000,131600,0.45,1920,,,1,,,
212500,131875,0.45,1920,,,1,,,
213000,132150,0.45,1920,,,1,,,
213500,132425,0.45,1920,,,1,,,
214000,132700,0.45,1920,,,1,,,
214500,132975,0.45,1920,,,1,,,
215000,133250,0.45,1920,,,1,,,
215500,133525,0.45,1920,,,1,,,
216000,133800,0.45,1920,,,1,,,
216500,134075,0.45,1920,,,1,,,
217000,134350,0.45,1920,,,1,,,
217500,134625,0.45,1920,,,1,,,
218000,134900,0.45,1920,,,1,,,
218500,135175,0.45,1920,,,1,,,
219000,135450,0.45,1920,,,1,,,
219500,135725,0.45,1920,,,1,,,
220000,136000,0.45,1920,,,1,,,
220500,136275,0.45,1920,,,1,,,
221000,136550,0.45,1920,,,1,,,
221500,136825,0.45,1920,,,1,,,
222000,137100,0.45,1920,,,1,,,
222500,137375,0.45,1920,,,1,,,
223000,137650,0.45,1920,,,1,,,
223500,137925,0.45,1920,,,1,,,
224000,138200,0.45,1920,,,1,,,
224500,138475,0.45,1920,,,1,,,
225000,138750,0.45,1920,,,1,,,
225500,139025,0.45,1920,,,1,,,
226000,139300,0.45,1920,,,1,,,
226500,139575,0.45,1920,,,1,,,
227000,139850,0.45,1920,,,1,,,
227500,140125,0.45,1920,,,1,,,
228000,140400,0.45,1920,,,1,,,
228500,140675,0.45,1920,,,1,,,
229000,140950,0.45,1920,,,1,,,
229500,141225,0.45,1920,,,1,,,
230000,141500,0.45,1920,,,1,,,
230500,141775,0.45,1920,,,1,,,
231000,142050,0.45,1920,,,1,,,
231500,142325,0.45,1920,,,1,,,
232000,142600,0.45,1920,,,1,,,
232500,142875,0.45,1920,,,1,,,
233000,143150,0.45,1920,,,1,,,
233500,143425,0.45,1920,,,1,,,
234000,143700,0.45,1920,,,1,,,
234500,143975,0.45,1920,,,1,,,
235000,144250,0.45,1920,,,1,,,
235500,144525,0.45,1920,,,1,,,
236000,144800,0.45,1920,,,1,,,
236500,145075,0.45,1920,,,1,,,
237000,145350,0.45,1920,,,1,,,
237500,145625,0.45,1920,,,1,,,
238000,145900,0.45,1920,,,1,,,
238500,146175,0.45,1920,,,1,,,
