classification,xVariable,yVariable
Northern Ireland,63,32044.235294117647
Northern Ireland,64,32410.117647058825
Northern Ireland,65,32867.470588235294
Northern Ireland,66,33324.82352941176
Northern Ireland,67,33782.17647058824
Northern Ireland,68,34331.0
Northern Ireland,69,34879.82352941176
Northern Ireland,70,35337.17647058824
Northern Ireland,71,35886
Northern Ireland,72,36279.56756756757
Northern Ireland,73,36738.72972972973
Northern Ireland,74,37132.2972972973
Northern Ireland,75,37591.45945945946
Northern Ireland,76,38116.21621621621
Northern Ireland,77,38575.37837837838
Northern Ireland,78,39100.13513513513
Northern Ireland,79,39624.89189189189
Northern Ireland,80,40215.24324324324
Northern Ireland,81,40740
Northern Ireland,82,41420.294117647056
Northern Ireland,83,42100.58823529412
Northern Ireland,84,42712.85294117647
Northern Ireland,85,43257.08823529412
Northern Ireland,86,44073.44117647059
Northern Ireland,87,44957.82352941176
Northern Ireland,88,46046.294117647056
Northern Ireland,89,47270.82352941176
Northern Ireland,90,48495.35294117647
Northern Ireland,91,49992
